ID_JOGO,HORA_INICIO,HORA_FIM,DURACAO,TENTATIVAS_FALHADAS
3,2025-10-19 23:59:53,2025-10-19 23:59:55,00:00:02,14
1,2025-10-20 00:00:00,2025-10-20 00:00:02,00:00:02,20
5,2025-10-22 18:19:39,2025-10-22 18:19:39,00:00:00,13
5,2025-10-22 18:20:51,2025-10-22 18:20:52,00:00:01,15
4,2025-10-22 18:21:12,2025-10-22 18:21:12,00:00:00,19
5,2025-10-23 15:23:54,2025-10-23 15:23:54,00:00:00,14
3,2025-10-23 15:23:58,2025-10-23 15:23:58,00:00:00,14
5,2025-10-23 15:30:49,2025-10-23 15:30:50,00:00:01,15
4,2025-10-23 15:42:59,2025-10-23 15:43:00,00:00:01,9
5,2025-10-23 16:46:25,2025-10-23 16:46:25,00:00:00,13
5,2025-10-23 17:27:27,2025-10-23 17:27:28,00:00:01,16
2,2025-10-23 17:28:12,2025-10-23 17:28:12,00:00:00,22
2,2025-10-23 17:30:33,2025-10-23 17:30:33,00:00:00,17
1,2025-10-23 17:34:10,2025-10-23 17:34:11,00:00:01,16
3,2025-10-23 17:36:24,2025-10-23 17:36:24,00:00:00,13
1,2025-10-23 17:36:31,2025-10-23 17:36:31,00:00:00,13
3,2025-10-23 17:36:33,2025-10-23 17:36:33,00:00:00,12
3,2025-10-23 17:41:01,2025-10-23 17:41:01,00:00:00,10
4,2025-10-23 17:42:01,2025-10-23 17:42:01,00:00:00,14
5,2025-10-23 17:42:09,2025-10-23 17:42:10,00:00:01,11
4,2025-10-23 17:42:53,2025-10-23 17:42:53,00:00:00,12
4,2025-10-23 17:43:03,2025-10-23 17:43:03,00:00:00,0
1,2025-10-23 17:43:05,2025-10-23 17:43:06,00:00:01,19
1,2025-10-23 17:43:07,2025-10-23 17:43:07,00:00:00,0
5,2025-10-23 17:43:08,2025-10-23 17:43:08,00:00:00,5
4,2025-10-23 17:43:09,2025-10-23 17:43:09,00:00:00,0
4,2025-10-23 17:43:11,2025-10-23 17:43:11,00:00:00,0
3,2025-10-23 17:43:11,2025-10-23 17:43:12,00:00:01,12
4,2025-10-23 17:43:12,2025-10-23 17:43:12,00:00:00,0
3,2025-10-23 17:43:13,2025-10-23 17:43:13,00:00:00,0
4,2025-10-23 18:21:42,2025-10-23 18:21:43,00:00:01,17
4,2025-10-23 18:43:44,2025-10-23 18:43:44,00:00:00,0
2,2025-10-23 18:44:10,2025-10-23 18:44:10,00:00:00,21
2,2025-10-23 18:44:15,2025-10-23 18:44:15,00:00:00,0
1,2025-10-23 18:44:17,2025-10-23 18:44:17,00:00:00,19
3,2025-10-23 18:44:22,2025-10-23 18:44:22,00:00:00,18
4,2025-10-23 19:07:07,2025-10-23 19:07:07,00:00:00,15
4,2025-10-26 15:37:11,2025-10-26 15:37:12,00:00:01,15
3,2025-10-26 15:37:13,2025-10-26 15:37:13,00:00:00,12
1,2025-10-26 15:37:14,2025-10-26 15:37:14,00:00:00,19
1,2025-10-26 15:37:15,2025-10-26 15:37:16,00:00:01,28
3,2025-10-26 15:39:15,2025-10-26 15:39:15,00:00:00,15
2,2025-10-26 15:39:18,2025-10-26 15:39:18,00:00:00,13
2,2025-10-26 15:40:17,2025-10-26 15:40:18,00:00:01,17
2,2025-10-26 15:40:20,2025-10-26 15:40:21,00:00:01,15
2,2025-10-26 15:40:22,2025-10-26 15:40:23,00:00:01,12
2,2025-10-26 15:40:43,2025-10-26 15:40:44,00:00:01,18
2,2025-10-26 15:40:49,2025-10-26 15:40:50,00:00:01,14
2,2025-10-26 15:40:51,2025-10-26 15:40:51,00:00:00,20
2,2025-10-26 15:40:52,2025-10-26 15:40:53,00:00:01,11
2,2025-10-26 15:41:36,2025-10-26 15:41:37,00:00:01,24
2,2025-10-26 15:41:38,2025-10-26 15:41:38,00:00:00,7
2,2025-10-26 15:41:39,2025-10-26 15:41:40,00:00:01,23
2,2025-10-26 15:42:12,2025-10-26 15:42:12,00:00:00,17
2,2025-10-26 15:42:14,2025-10-26 15:42:15,00:00:01,23
5,2025-10-26 15:42:16,2025-10-26 15:42:16,00:00:00,14
1,2025-10-26 15:42:17,2025-10-26 15:42:17,00:00:00,15
4,2025-10-26 15:42:18,2025-10-26 15:42:19,00:00:01,14
2,2025-10-26 15:42:19,2025-10-26 15:42:20,00:00:01,22
2,2025-10-26 15:42:27,2025-10-26 15:42:28,00:00:01,13
1,2025-10-26 15:42:30,2025-10-26 15:42:30,00:00:00,15
2,2025-10-26 15:42:31,2025-10-26 15:42:32,00:00:01,17
4,2025-10-26 15:42:32,2025-10-26 15:42:33,00:00:01,7
